Date,Open,High,Low,Close,Volume
2017-02-02 13:26:00,795.9,796.29,795.8,796.29,2099
2017-02-02 13:27:00,796.34,796.34,796.22,796.22,700
2017-02-02 13:28:00,796.51,796.61,796.31,796.31,500
2017-02-02 13:29:00,796.3,796.405,796.3,796.405,300
2017-02-02 13:30:00,796.53,796.53,796.48,796.48,300
2017-02-02 13:31:00,797.0,797.0,796.54,796.54,1300
2017-02-02 13:32:00,796.82,796.82,796.82,796.82,150
2017-02-02 13:33:00,796.955,796.955,796.87,796.94,300
2017-02-02 13:34:00,796.95,796.95,796.89,796.89,400
2017-02-02 13:35:00,797.14,797.15,797.03,797.03,500
2017-02-02 13:36:00,797.15,797.28,797.15,797.28,200
2017-02-02 13:37:00,797.435,797.435,797.435,797.435,200
2017-02-02 13:38:00,798.07,798.25,797.65,797.65,850
2017-02-02 13:39:00,798.05,798.14,797.88,798.14,1500
2017-02-02 13:40:00,798.235,798.5,798.23,798.25,1803
2017-02-02 13:41:00,798.52,798.52,798.5,798.5,400
2017-02-02 13:42:00,798.72,798.86,798.3276,798.52,3747
2017-02-02 13:43:00,798.77,798.77,798.49,798.62,550
2017-02-02 13:44:00,798.6,798.6,798.6,798.6,100
2017-02-02 13:45:00,798.67,798.67,798.38,798.55,1624
2017-02-02 13:46:00,798.71,798.84,798.67,798.67,800
2017-02-02 13:47:00,798.69,798.7,798.68,798.7,600
2017-02-02 13:48:00,798.75,798.75,798.6252,798.69,600
2017-02-02 13:49:00,798.73,798.74,798.73,798.74,200
2017-02-02 13:50:00,798.7071,798.87,798.695,798.695,1166
2017-02-02 13:51:00,798.87,798.88,798.695,798.695,900
2017-02-02 13:52:00,798.67,798.82,798.67,798.7061,600
2017-02-02 13:53:00,798.71,798.71,798.57,798.57,500
2017-02-02 13:54:00,798.14,798.685,798.01,798.56,3200
2017-02-02 13:55:00,798.16,798.3,798.16,798.3,200
2017-02-02 13:56:00,798.14,798.46,798.14,798.3,1900
2017-02-02 13:57:00,798.01,798.14,798.01,798.14,380
2017-02-02 13:58:00,798.0747,798.1799,797.8946,797.8946,500
2017-02-02 13:59:00,798.159,798.159,797.94,798.0275,615
2017-02-02 14:00:00,798.1,798.1,798.05,798.05,400
2017-02-02 14:01:00,798.37,798.37,798.1,798.13,1200
2017-02-02 14:02:00,798.18,798.35,798.18,798.35,200
2017-02-02 14:03:00,798.0880000000001,798.425,797.89,798.16,2540
2017-02-02 14:04:00,798.086,798.2,798.086,798.2,200
2017-02-02 14:05:00,797.85,798.19,797.66,797.99,1700
2017-02-02 14:06:00,797.86,797.99,797.85,797.85,1200
2017-02-02 14:07:00,798.15,798.15,798.13,798.13,200
2017-02-02 14:08:00,797.96,798.01,797.72,798.01,700
2017-02-02 14:09:00,797.8342,797.88,797.7,797.7254,695
2017-02-02 14:10:00,798.02,798.02,797.68,797.73,2900
2017-02-02 14:11:00,797.8369,797.8369,797.8369,797.8369,100
2017-02-02 14:12:00,798.18,798.18,797.7,797.7,700
2017-02-02 14:13:00,797.72,798.22,797.72,798.22,568
2017-02-02 14:14:00,797.71,797.76,797.71,797.76,200
2017-02-02 14:15:00,797.76,797.76,797.76,797.76,100
2017-02-02 14:16:00,797.01,797.25,797.01,797.25,450
2017-02-02 14:17:00,797.09,797.22,797.06,797.22,321
2017-02-02 14:18:00,797.38,797.39,797.38,797.38,1904
2017-02-02 14:19:00,797.1,797.2894,797.1,797.16,550
2017-02-02 14:20:00,797.23,797.23,797.1559,797.1559,375
2017-02-02 14:21:00,797.16,797.39,797.16,797.24,1400
2017-02-02 14:22:00,797.19,797.19,797.14,797.16,1395
2017-02-02 14:23:00,797.0,797.22,797.0,797.22,1100
2017-02-02 14:24:00,796.62,796.85,796.62,796.85,600
2017-02-02 14:25:00,796.56,796.69,796.56,796.69,500
2017-02-02 14:26:00,796.36,796.59,796.36,796.59,350
2017-02-02 14:27:00,796.47,796.47,796.47,796.47,100
2017-02-02 14:28:00,796.49,796.53,796.35,796.35,923
2017-02-02 14:29:00,796.5405,796.5405,796.49,796.49,219
2017-02-02 14:30:00,796.7199,796.7199,796.5,796.5,2005
2017-02-02 14:31:00,796.8132,796.9266,796.6513,796.72,2062
2017-02-02 14:32:00,797.4139,797.4139,797.06,797.06,700
2017-02-02 14:33:00,797.2497,797.41,797.12,797.41,1400
2017-02-02 14:34:00,797.3005,797.4119999999999,797.01,797.07,1987
2017-02-02 14:35:00,797.12,797.26,797.12,797.21,800
2017-02-02 14:36:00,797.03,797.1331,797.03,797.1331,200
2017-02-02 14:37:00,797.24,797.25,796.9989999999999,797.0,1601
2017-02-02 14:38:00,797.28,797.28,797.27,797.27,200
2017-02-02 14:39:00,796.98,797.33,796.98,797.33,400
2017-02-02 14:40:00,796.9,797.13,796.86,797.13,769
2017-02-02 14:41:00,796.79,796.85,796.58,796.58,900
2017-02-02 14:42:00,796.5,796.79,796.5,796.79,300
2017-02-02 14:43:00,796.0,796.42,796.0,796.42,1000
2017-02-02 14:44:00,795.78,796.1235,795.78,796.1235,412
2017-02-02 14:45:00,795.925,795.925,795.91,795.9197,500
2017-02-02 14:46:00,796.14,796.2,795.97,795.99,1400
2017-02-02 14:47:00,796.01,796.01,796.01,796.01,100
2017-02-02 14:48:00,795.87,796.0765,795.87,796.01,1601
2017-02-02 14:49:00,796.09,796.27,795.87,796.03,1000
2017-02-02 14:50:00,796.11,796.36,796.1,796.295,1300
2017-02-02 14:51:00,796.08,796.1452,795.97,796.11,800
2017-02-02 14:52:00,796.06,796.23,796.06,796.18,600
2017-02-02 14:53:00,796.27,796.27,796.27,796.27,200
2017-02-02 14:54:00,796.24,796.3347,796.16,796.25,1125
2017-02-02 14:55:00,796.33,796.47,796.3,796.365,800
2017-02-02 14:56:00,796.31,796.31,796.31,796.31,300
2017-02-02 14:57:00,796.41,796.45,796.41,796.45,200
2017-02-02 14:58:00,796.46,796.46,796.46,796.46,200
2017-02-02 14:59:00,796.88,796.88,796.58,796.62,2000
2017-02-02 15:00:00,797.02,797.2325,796.99,796.99,2000
2017-02-02 15:01:00,796.89,796.89,796.7709,796.7709,425
2017-02-02 15:02:00,796.87,797.03,796.74,796.78,5000
2017-02-02 15:03:00,797.08,797.08,796.77,796.94,2450
2017-02-02 15:04:00,797.2,797.3,797.08,797.08,1500
2017-02-02 15:05:00,796.94,797.275,796.94,797.18,2300
2017-02-02 15:06:00,797.07,797.08,796.86,796.98,1500
2017-02-02 15:07:00,796.82,796.98,796.81,796.98,500
2017-02-02 15:08:00,796.99,796.99,796.84,796.85,1300
2017-02-02 15:09:00,796.68,796.72,796.68,796.6818,1080
2017-02-02 15:10:00,796.72,796.77,796.59,796.77,1143
2017-02-02 15:11:00,797.0,797.0,796.69,796.69,500
2017-02-02 15:12:00,797.0096,797.12,796.88,797.12,1300
2017-02-02 15:13:00,797.165,797.25,796.98,797.08,1400
2017-02-02 15:14:00,797.15,797.35,796.98,796.98,1500
2017-02-02 15:15:00,797.4,797.41,797.01,797.15,1590
2017-02-02 15:16:00,797.315,797.695,797.27,797.27,1455
2017-02-02 15:17:00,797.04,797.4833,797.04,797.4833,1100
2017-02-02 15:18:00,796.93,797.309,796.87,797.309,1600
2017-02-02 15:19:00,796.98,796.98,796.97,796.97,200
2017-02-02 15:20:00,797.19,797.25,797.05,797.05,2740
2017-02-02 15:21:00,797.2,797.36,797.2,797.29,3600
2017-02-02 15:22:00,797.59,797.709,797.3,797.3,3255
2017-02-02 15:23:00,797.515,797.71,797.471,797.66,400
2017-02-02 15:24:00,797.63,797.7389999999999,797.63,797.7389999999999,1115
2017-02-02 15:25:00,797.57,797.79,797.57,797.78,1000
2017-02-02 15:26:00,797.95,797.95,797.63,797.63,600
2017-02-02 15:27:00,797.76,797.9299,797.75,797.9258,518
2017-02-02 15:28:00,798.08,798.08,797.79,797.79,4115
2017-02-02 15:29:00,797.94,798.05,797.94,797.98,1400
2017-02-02 15:30:00,797.7689999999999,797.94,797.7689999999999,797.84,2400
2017-02-02 15:31:00,797.66,797.84,797.63,797.84,2800
2017-02-02 15:32:00,797.445,797.745,797.4,797.6,4100
2017-02-02 15:33:00,797.86,797.86,797.4624,797.4624,3415
2017-02-02 15:34:00,797.97,798.01,797.86,797.86,2102
2017-02-02 15:35:00,798.0,798.0,797.82,797.9,1703
2017-02-02 15:36:00,798.11,798.11,797.9234,797.9234,1100
2017-02-02 15:37:00,798.28,798.28,797.92,798.18,2286
2017-02-02 15:38:00,798.25,798.35,798.1669,798.21,2422
2017-02-02 15:39:00,798.2299,798.31,798.07,798.3,1105
2017-02-02 15:40:00,798.2,798.31,798.06,798.22,5999
2017-02-02 15:41:00,798.2882,798.43,798.16,798.31,3451
2017-02-02 15:42:00,798.94,798.94,798.24,798.32,5524
2017-02-02 15:43:00,798.8,799.06,798.71,798.96,3947
2017-02-02 15:44:00,798.71,798.79,798.53,798.79,3395
2017-02-02 15:45:00,798.37,798.71,798.34,798.71,3024
2017-02-02 15:46:00,798.19,798.53,798.19,798.41,6666
2017-02-02 15:47:00,798.325,798.33,798.13,798.21,2655
2017-02-02 15:48:00,798.35,798.5,798.191,798.42,12584
2017-02-02 15:49:00,798.31,798.5,798.15,798.29,8159
2017-02-02 15:50:00,798.39,798.49,798.33,798.33,4593
2017-02-02 15:51:00,798.45,798.59,798.25,798.4,11236
2017-02-02 15:52:00,798.53,798.63,798.13,798.5,61027
